Company_Name,Market,Country_Code,City,Founded_Year,Funding_Rounds,Funding_Total_USD,First_Funding_At,Last_Funding_At,Status
1CLICK, Chat ,IND,Bengaluru,2012,1,0,2014-01-26,2014-01-26,Operating
1mg,E-Commerce,IND,Gurgaon,2015,16,204600209,07-05-2015,19-10-2025,Operating
21Diamonds, E-Commerce ,IND,Gurgaon,2012,1,6369507,2012-11-15,2012-11-15,Operating
24x7 Learning, Education ,IND,Bengaluru,2001,1,4000000,2007-11-06,2007-11-06,Operating
3DSoC, Mobile ,IND,Bengaluru,2006,2,2065000,2007-12-01,2010-08-01,Operating
91Mobiles, Mobile ,IND,Gurgaon,2010,1,1000000,2014-10-29,2014-10-29,Operating
99Presents, E-Commerce ,IND,Vadodara,2012,1,20000,2012-09-01,2012-09-01,Operating
99tests, Software ,IND,Bengaluru,2011,3,210000,2010-12-01,2013-07-22,Operating
A LITTLE WORLD, Finance ,IND,Mumbai,2000,1,6410000,2008-09-09,2008-09-09,Operating
A.P Avanashiappa Silk, Retail ,IND,Tirupur,1946,2,96932,2010-09-15,2012-08-05,Operating
ABC Live, Advertising ,IND,Chandigarh,2007,1,25000,2007-01-05,2007-01-05,Closed
ACB (India) Limited, Mining Technologies ,IND,Gurgaon,1997,1,25090000,2008-03-31,2008-03-31,Operating
Accentium Web, Curated Web ,IND,Gurgaon,2007,1,2000000,2014-08-27,2014-08-27,Operating
Acision, Mobile ,IND,Gurgaon,1992,1,100000000,2010-10-05,2010-10-05,Operating
AddressHealth, Health Care ,IND,Bengaluru,2010,1,0,2014-06-20,2014-06-20,Operating
Adhysteria, Classifieds ,IND,Mumbai,2007,1,10000,2007-07-01,2007-07-01,Closed
Adlabs Imagica,Tourism & Hospitality,IND,Khopoli,2010,1,8180000,2014-10-28,2014-10-28,Operating
AdPushup, Apps ,IND,New Delhi,2013,1,632000,2014-10-29,2014-10-29,Operating
Affine Analytics, Big Data ,IND,Bengaluru,2011,1,100000,2012-01-01,2012-01-01,Operating
Affinity, Advertising ,IND,Mumbai,2006,2,85000000,1999-10-01,2002-01-01,Acquired
Agile, Finance Technology ,IND,Mumbai,2001,1,5740000,2011-05-01,2011-05-01,Operating
Agnikul, Manufacturing,IND,Chennai,2017,4,14543144,21-06-2019,24-02-2022,Operating
Airmeet, Software,IND,Bengaluru,2019,4,15000000,26-12-2019,12-06-2022,Operating
Airwoot, Analytics ,IND,New Delhi,2012,1,0,2013-08-26,2013-08-26,Operating
Ajahn, Education ,IND,Hyderabad,2013,1,100000,2014-01-18,2014-01-18,Operating
Aknamed,Health Care,IND,Bengaluru,2018,1,7000000,12-03-2020,20-07-2020,Operating
Akosha, Mobile ,IND,New Delhi,2010,2,5200000,2011-09-01,2014-07-01,Operating
Allied Digital Services, Consulting ,IND,Mumbai,1995,1,175000,2010-09-28,2010-09-28,Operating
AllSchoolStuff.com, Retail ,IND,Gurgaon,2011,1,1500000,2012-09-01,2012-09-01,Operating
AlphaBeta Labs, Education ,IND,Bengaluru,2010,1,40000,2012-07-17,2012-07-17,Operating
Alsbridge, BPO Services ,IND,Gurgaon,2003,1,0,2013-01-08,2013-01-08,
Althea Systems, Hardware + Software ,IND,Bengaluru,2009,1,3000000,2010-11-17,2010-11-17,Operating
Amagi Media Labs, Advertising ,IND,Bengaluru,2008,1,5500000,2013-06-17,2013-06-17,Operating
Ampere,,IND,Coimbatore,,1,0,2013-01-01,2013-01-01,Operating
AngelPrime, Finance ,IND,Bengaluru,,1,0,2012-10-24,2012-10-24,Operating
Aniika, Handmade ,IND,Bengaluru,2011,2,500000,2011-04-01,2012-07-30,Operating
Annapurna Microfinace, Finance ,IND,Bhubaneswar,2009,1,5000000,2014-03-26,2014-03-26,Operating
AntFarm, Fitness ,IND,Mumbai,2012,1,0,2014-08-06,2014-08-06,Operating
Anunta Technology Management Services, Enterprise Software ,IND,Mumbai,2011,1,3000000,2013-02-14,2013-02-14,Operating
Apalya, Entertainment ,IND,Hyderabad,,3,18500000,2009-10-01,2012-12-01,Operating
Apartment Adda, Price Comparison ,IND,Bengaluru,2008,1,0,2013-11-14,2013-11-14,Operating
Apna,EHuman Resources,IND,Mumbai,2019,4,93450000,07-09-2019,04-02-2022,Acquired
ApnaPaisa, Credit ,IND,Mumbai,2007,2,17200000,2007-01-30,2007-12-01,Operating
Appdra, Software ,IND,Bengaluru,2013,1,1500000,2014-07-22,2014-07-22,Operating
AppLabs, Software ,IND,Hyderabad,2001,1,10000000,2006-06-29,2006-06-29,Acquired
Applect Learning Systems Pvt. Ltd., Education ,IND,New Delhi,2008,1,1600000,2013-12-04,2013-12-04,Operating
Appsdaily Solutions, Software ,IND,Mumbai,2008,1,5000000,2014-04-10,2014-04-10,Operating
AppSurfer, Curated Web ,IND,Pune,2011,1,200000,2012-08-15,2012-08-15,Operating
Ariisto, Real Estate ,IND,Andheri,2006,2,54000000,2013-07-18,2014-01-24,Operating
Arohan Financial, Finance ,IND,Kolkata,2006,1,3500000,2013-10-03,2013-10-03,Operating
Array Storm, Consumer Electronics ,IND,Bengaluru,,1,0,2014-07-09,2014-07-09,Operating
ArthaYantra, Personal Finance ,IND,Hyderabad,,1,0,2012-11-07,2012-11-07,Operating
Artoo, Technology ,IND,Bengaluru,2010,2,130000,2010-05-16,2013-12-12,Operating
Arzooo.com,Retail,IND,Bengaluru,2018,6,14800000,14-12-2018,26-02-2023,Operating
Aspiring Minds, Education ,IND,Gurgaon,,1,0,2011-11-09,2011-11-09,Operating
atOnePlace.com, Real Estate ,IND,Noida,2006,1,250000,2008-09-20,2008-09-20,Acquired
Atria Brindavan Power, Clean Technology ,IND,Bengaluru,2000,1,8600000,2013-06-13,2013-06-13,Operating
Attero, Clean Technology ,IND,Noida,2007,4,28600000,2008-04-18,2014-08-28,Operating
Au FINANCIERS, E-Commerce ,IND,Jaipur,1996,1,21000000,2014-04-15,2014-04-15,Operating
AudioCompass, Guides ,IND,Mumbai,2009,1,400000,2014-02-18,2014-02-18,Operating
Aujas Networks, Security ,IND,Bengaluru,2008,3,11000000,2008-01-13,2013-11-27,Operating
Auro Mira Energy, Clean Technology ,IND,Chennai,,1,21000000,2010-09-28,2010-09-28,Operating
authorSTREAM.com, Curated Web ,IND,Chandigarh,2007,1,5000000,2010-12-15,2010-12-15,Operating
Avail Finance, FinTech,IND,Bengaluru,2017,5,41443027,07-12-2019,08-12-2023,Operating
Avanse Financial Services, Education ,IND,Mumbai,2012,1,2300000,2013-08-07,2013-08-07,Operating
Avantha, Hardware + Software ,IND,New Delhi,,1,150000000,2013-12-16,2013-12-16,Operating
Avataar.Me, E-Commerce,IND,Bengaluru,2016,1,7000000,14-03-2018,14-03-2018,Closed
Avaz, Neuroscience ,IND,Chennai,2009,1,550000,2014-04-22,2014-04-22,Operating
Avesthagen, Biotechnology ,IND,Bengaluru,,1,5530000,2007-05-07,2007-05-07,Operating
Awign Enterprises,E-Commerce,IND,Bengaluru,2016,5,5463025,04-08-2017,06-02-2021,Operating
AxisRooms, Software ,IND,Bengaluru,2009,1,0,2013-09-24,2013-09-24,Operating
Aye Finance,FinTech,IND,Gurgaon,2014,23,261193454,10-10-2014,02-10-2025,Operating
Azure Power, Clean Technology ,IND,New Delhi,2008,5,32200000,2008-11-18,2013-04-18,Operating
Babajob, Curated Web ,IND,Bengaluru,2007,1,0,2012-06-01,2012-06-01,Operating
Babyoye, E-Commerce ,IND,Mumbai,2010,2,2500000,2011-04-15,2011-12-01,Operating
BankBazaar.com, Insurance ,IND,Chennai,2008,2,19000000,2011-03-18,2014-01-13,Operating
BankerBay Technologies, Finance ,IND,Bengaluru,2012,1,1000000,2014-05-02,2014-05-02,Operating
Bay Talkitec (P), Messaging ,IND,Chennai,1991,1,2500000,2008-01-30,2008-01-30,Operating
Bedbathmore.com, E-Commerce ,IND,Mumbai,2010,1,0,2013-05-29,2013-05-29,Operating
beStylish.com, Shoes ,IND,Gurgaon,2011,1,10000000,2012-06-01,2012-06-01,
Betterhalf, Dating,IND,Bengaluru,2016,3,4600000,14-08-2017,25-07-2019,Operating
Bharat Matrimony, Match-Making ,IND,Chennai,1969,1,11750000,2008-02-05,2008-02-05,Operating
BharatPe,FinTech,IND,New Delhi,2018,7,290345855,26-08-2018,13-09-2024,Operating
BIBA Apparels,,IND,New Delhi,1988,1,48600000,2013-12-05,2013-12-05,Operating
Bigbasket.com, E-Commerce ,IND,Bengaluru,2011,2,35799999,2014-04-15,2014-09-12,Operating
Bijlipay, E-Commerce ,IND,Chennai,2007,1,2000000,2014-10-25,2014-10-25,Operating
Billdesk, Curated Web ,IND,Ahmedabad,2000,1,0,2012-04-04,2012-04-04,Operating
BimaPe,FinTech,IND,Mumbai,2020,2,545000,25-01-2020,09-07-2021,Operating
Bimaplan, Insurance,IND,Bengaluru,2020,2,3000000,08-01-2022,03-03-2023,Operating
Biotz, Hardware ,IND,New Delhi,2012,2,35000,2013-05-13,2014-06-04,Operating
Bira 91,Food and Beverage,IND,New Delhi,2015,14,160465015,07-09-2016,08-09-2025,Operating
Birds Eye Systems, Health Care ,IND,Mumbai,2010,2,320000,2013-12-06,2014-09-30,Operating
Biscoot, Games ,IND,Mumbai,2012,1,0,2013-10-31,2013-10-31,Operating
BitX, Financial Services ,IND,Mumbai,2013,1,800000,2014-08-19,2014-08-19,Operating
Bizeso Services Private Limited, Legal ,IND,New Delhi,2011,1,0,2011-09-25,2011-09-25,Operating
bizsol, Software ,IND,Chennai,2011,1,50000,2011-02-01,2011-02-01,Operating
BlackBamboozStudio,,IND,Guwahati,2012,1,19889,2013-08-01,2013-08-01,Operating
Blackbuck, Logistics,IND,Bengaluru,2015,8,296995198,05-08-2016,12-03-2023,Operating
Blowhorn, Marketplaces ,IND,Bengaluru,2013,1,0,2014-11-13,2014-11-13,Operating
Blue Bus Tees, E-Commerce ,IND,Mumbai,2008,1,0,2013-07-25,2013-07-25,Operating
Bluegape Lifestyle, E-Commerce ,IND,New Delhi,2011,3,270000,2012-02-01,2014-01-08,Operating
Bluestone.com, Curated Web ,IND,Bengaluru,2011,2,15000000,2012-01-24,2014-03-18,Operating
BluSmart Mobility,Electric Vehicle,IND,Ahmedabad,2019,5,17062939,01-03-2019,26-05-2023,Operating
boAt,Consumer Electronics,IND,New Delhi,2016,6,116258656,10-10-2018,13-12-2023,Operating
Bobble AI,Artificial Intelligence,IND,Haryana,2015,5,13275213,17-07-2017,04-04-2021,Operating
Bodhicrew Services Private Limited, Training ,IND,New Delhi,,1,0,2012-02-07,2012-02-07,Operating
Bombay Shaving Company, E-Commerce,IND,New Delhi,2015,6,17696569,02-06-2017,13-10-2022,Operating
Bookmycab, Public Transportation ,IND,Mumbai,,1,6500000,2014-02-19,2014-02-19,Operating
BookMyForex.com, E-Commerce ,IND,Gurgaon,2012,1,0,2012-07-01,2012-07-01,Operating
Bookmytrainings PVT Ltd, Education ,IND,Bengaluru,2011,1,0,2012-06-04,2012-06-04,Operating
Boond, Product Development Services ,IND,New Delhi,,1,0,2014-08-20,2014-08-20,Operating
Brainwave Education, Education ,IND,Bengaluru,2012,1,40000,2013-11-19,2013-11-19,Operating
Brandpotion, Advertising ,IND,Mumbai,2009,1,0,2009-01-01,2009-01-01,Operating
Browntape, E-Commerce ,IND,Goa,2012,3,60000,2013-08-01,2014-04-04,Operating
BTI Payments, Curated Web ,IND,Bengaluru,1991,1,22400000,2013-11-29,2013-11-29,Operating
burrp!, Local ,IND,Mumbai,2006,2,2150000,2006-12-01,2007-11-01,Operating
Buyt.In, Search ,IND,New Delhi,2012,1,1000000,2013-06-26,2013-06-26,Operating
BVG India, Consulting ,IND,Pune,,1,0,2008-09-30,2008-09-30,Operating
Callystro, Mobile Games ,IND,Mangalore,2012,1,36000,2013-03-01,2013-03-01,Operating
Campus Diaries, Education ,IND,Bengaluru,2012,1,175000,2014-03-14,2014-03-14,Operating
Canvera Digital Technologies, Software ,IND,Bengaluru,2007,6,12153000,2010-09-21,2014-10-22,Operating
Capital Float, Financial Services ,IND,Bengaluru,2013,2,3000000,2014-06-25,2014-08-05,Operating
Capricorn Food Products India, Hospitality ,IND,Chennai,1998,1,10000000,2013-07-22,2013-07-22,Operating
Captronic Systems, Manufacturing ,IND,Bengaluru,,1,3318000,2012-03-29,2012-03-29,Operating
CaptureSolar Energy,,IND,Pune,2013,1,125000000,2014-06-01,2014-06-01,Operating
CaratLane, E-Commerce ,IND,Chennai,2008,2,21000000,2011-06-22,2013-05-13,Operating
Cardback, Mobile ,IND,New Delhi,2012,1,170000,2014-06-27,2014-06-27,Operating
Careers360, Education ,IND,Delhi,2008,1,0,2014-06-16,2014-06-16,Operating
CARS24,E-Commerce,IND,Gurgaon,2015,5,393848044,26-11-2016,25-07-2020,Operating
CarTrade, Motors ,IND,Mumbai,2009,1,30200000,2014-10-13,2014-10-13,Operating
CarWale, E-Commerce ,IND,Mumbai,2005,2,7000000,2006-12-14,2008-11-05,Acquired
Casa Grande, Real Estate ,IND,Chennai,2004,1,9500000,2013-06-17,2013-06-17,Operating
Cashfree,FinTech,IND,Bengaluru,2015,4,40920000,20-09-2016,03-09-2019,Operating
Cashify,E-Commerce,IND,Gurgaon,2015,5,28000000,08-06-2017,09-11-2021,Operating
Catacomb Technologies, Software ,IND,Cochin,2013,1,10000,2013-08-31,2013-08-31,Operating
Catapooolt, Games ,IND,Mumbai,,1,0,2014-04-07,2014-04-07,Operating
Cbazaar.com,,IND,Chennai,,1,0,2014-11-24,2014-11-24,Operating
CE Info Systems, Software ,IND,New Delhi,1992,2,34000000,2007-08-09,2009-02-15,Operating
Cedar Books,,IND,New Delhi,2007,1,1000000,2012-12-01,2012-12-01,Operating
Cell Propulsion,Automotive,IND,Bengaluru,2016,6,4074000,01-05-2017,10-03-2022,Operating
Celon Laboratories, Biotechnology ,IND,Hyderabad,2007,1,15800000,2010-10-08,2010-10-08,Operating
Centre for Sight, Biotechnology ,IND,New Delhi,1996,1,5000000,2013-07-03,2013-07-03,Operating
CEON Solutions Pvt, Education ,IND,Nasrapur,2004,1,688000,2007-03-20,2007-03-20,Operating
Cerana Beverages, Wine And Spirits ,IND,,,1,0,2014-06-13,2014-06-13,Operating
CESC, Utilities ,IND,Kolkata,,1,80000000,2014-10-29,2014-10-29,Operating
Chakpak Media, News ,IND,Bengaluru,,1,5000000,2008-12-22,2008-12-22,Operating
Channel Mentor IT,,IND,Bengaluru,,1,286509,2013-04-01,2013-04-01,Operating
Chingari,"Social, Video",IND,Bengaluru,2018,5,14340302,24-01-2018,27-01-2022,Operating
Chqbook,Finance,IND,Delhi,2017,3,6000000,02-02-2017,22-12-2019,Operating
Chumbak, E-Commerce ,IND,Bengaluru,2009,2,2000000,2013-02-17,2014-05-20,Operating
Cians Analytics, Outsourcing ,IND,Gurgaon,2009,1,2000000,2009-09-01,2009-09-01,Operating
CircuitSutra Technologies, Semiconductors ,IND,Noida,2005,1,198000,2010-01-14,2010-01-14,Operating
Citrus, E-Commerce ,IND,Mumbai,2011,2,7300000,2012-01-01,2013-12-06,Operating
CityMall,E-Commerce,IND,Gurgaon,2019,5,37100000,01-05-2021,19-01-2025,Operating
Claro Energy, Clean Technology ,IND,Delhi,2011,1,0,2013-10-22,2013-10-22,Operating
Classplus,Education,IND,Noida,2018,10,89506451,06-01-2020,05-08-2025,Operating
Classteacher Learning Systems, Education ,IND,Gurgaon,1999,1,15000000,2011-06-27,2011-06-27,Operating
Clear-Data Analytics, Consulting ,IND,Noida,2013,1,100000,2013-05-15,2013-05-15,Operating
ClearTax, Finance ,IND,Delhi,,1,120000,2014-07-16,2014-07-16,Operating
Cleartrip, Travel ,IND,Mumbai,2006,4,56400000,2006-01-01,2014-05-12,Operating
Clonect Solutions, Enterprises ,IND,Bengaluru,,1,246517,2014-09-19,2014-09-19,Operating
Cloud Amenity, Consulting ,IND,Chennai,2013,1,0,2014-06-06,2014-06-06,Operating
CoCubes.com, Technology ,IND,Gurgaon,2007,1,0,2009-05-01,2009-05-01,Operating
Codelearn, E-Commerce ,IND,Bengaluru,2012,1,150000,2012-12-01,2012-12-01,Operating
CodeNxt Web Technologies Private Limited, Consulting ,IND,Ahmedabad,2010,2,32848,2010-07-01,2014-01-01,Operating
CoinDCX, Financial Services,IND,Mumbai,2017,3,5500000,20-03-2017,27-12-2019,Operating
Collisionable, Entrepreneur ,IND,New Delhi,2013,1,16500,2013-09-05,2013-09-05,Operating
Comat Technologies,,IND,Bengaluru,1996,3,25000000,2007-03-10,2008-10-01,Closed
CommonFloor, Real Estate ,IND,Bengaluru,2007,3,47900000,2013-06-04,2014-09-24,Operating
